15:19:05 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/19 | streaming=true
15:19:11 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/22 | streaming=true
15:19:18 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/22 | streaming=true
15:19:24 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:19:30 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:19:37 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:19:43 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/23 | streaming=true
15:19:49 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/26 | streaming=true
15:19:55 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=492/3/26 | streaming=true
15:20:02 | SEPs=LDAC+AAC+SBC | cur=LDAC (96000) | ldac(kbps/idx/adj)=660/1/27 | streaming=true
15:20:08 | SEPs=LDAC+AAC+SBC | cur=? (96000) | ldac(kbps/idx/adj)=n/a | streaming=
15:20:14 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:21 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:27 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:34 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:40 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:46 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:53 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:20:59 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:05 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:12 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:18 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:24 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:30 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:37 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:43 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:50 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:21:56 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:03 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:09 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:15 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:22 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:28 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:34 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:40 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:47 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:53 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:22:59 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:06 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:12 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:18 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:25 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:31 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:37 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:41 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:48 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:23:54 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:00 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:07 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:13 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:20 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:26 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:32 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:39 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:45 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:51 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:24:58 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:04 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:10 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:17 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:23 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:29 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:36 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:42 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:48 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:25:55 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:01 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:08 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:14 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:20 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:27 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:33 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:39 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
15:26:46 | SEPs=AAC+SBC | cur=AAC (44100) | ldac(kbps/idx/adj)=1 | streaming=true
